epoch,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,deflection
1567333250.631000,-0.104420,0.111455,0.018658,-0.067256,-0.004236,-0.120198,0.001387,0.001753,-0.015051,0.015115
1567333250.664000,0.012803,-0.020097,0.133465,-0.068715,-0.002755,-0.117801,-0.000813,0.001636,-0.019114,0.019132
1567333250.697000,0.043822,-0.051131,0.140597,-0.067731,-0.003955,-0.113387,-0.003020,0.001524,-0.023061,0.023258
1567333250.730000,-0.051961,0.178595,-0.077135,-0.067818,-0.001878,-0.112445,-0.005211,0.001427,-0.026915,0.027415
1567333250.763000,0.012593,-0.039058,0.147708,-0.068423,0.000400,-0.111381,-0.007413,0.001401,-0.030733,0.031614
1567333250.796000,-0.025728,-0.029491,0.111795,-0.068598,-0.000756,-0.107195,-0.009627,0.001394,-0.034459,0.035779
1567333250.829000,-0.049733,0.075888,0.080690,-0.069804,-0.000015,-0.104111,-0.011863,0.001380,-0.038062,0.039868
1567333250.862000,0.091305,-0.225513,0.300833,-0.069081,-0.002509,-0.097904,-0.014106,0.001337,-0.041507,0.043839
1567333250.895000,-0.054699,0.013826,0.102234,-0.068444,-0.006026,-0.091338,-0.016327,0.001195,-0.044738,0.047624
1567333250.928000,0.251480,-0.206276,0.233828,-0.065166,-0.009226,-0.085873,-0.018482,0.000942,-0.047766,0.051217
1567333250.961000,-0.002205,0.150253,-0.060478,-0.061025,-0.010174,-0.083088,-0.020515,0.000620,-0.050655,0.054651
1567333250.994000,0.038308,-0.072202,0.183505,-0.060403,-0.008910,-0.081130,-0.022468,0.000303,-0.053461,0.057990
1567333251.027000,0.090882,-0.131964,0.248127,-0.058249,-0.012302,-0.074076,-0.024376,-0.000049,-0.056115,0.061181
1567333251.060000,0.023814,0.176808,0.037577,-0.056336,-0.011586,-0.069426,-0.026217,-0.000445,-0.058572,0.064171
1567333251.093000,0.093154,-0.074379,0.279214,-0.054388,-0.009919,-0.064258,-0.027993,-0.000802,-0.060863,0.066992
1567333251.126000,0.047559,0.148193,-0.070095,-0.052051,-0.008724,-0.060863,-0.029699,-0.001112,-0.063010,0.069658
1567333251.159000,0.006769,0.133936,0.001696,-0.051142,-0.004091,-0.062044,-0.031352,-0.001326,-0.065116,0.072271
1567333251.192000,0.126316,-0.208256,0.252952,-0.048936,-0.005340,-0.057889,-0.032953,-0.001484,-0.067170,0.074818
1567333251.225000,-0.036471,0.114837,0.051928,-0.047445,-0.006903,-0.052902,-0.034493,-0.001689,-0.069069,0.077204
1567333251.258000,-0.026956,0.124509,0.164425,-0.048486,-0.002976,-0.049372,-0.036027,-0.001855,-0.070825,0.079461
1567333251.291000,0.011193,0.174781,0.054411,-0.048743,0.001941,-0.045796,-0.037582,-0.001875,-0.072460,0.081626
1567333251.324000,0.133091,-0.155347,0.298519,-0.046362,0.002240,-0.040004,-0.039102,-0.001809,-0.073936,0.083639
1567333251.357000,0.044538,0.021824,0.162131,-0.043432,0.000016,-0.032431,-0.040535,-0.001775,-0.075189,0.085420
1567333251.390000,-0.039309,0.165457,0.056833,-0.043349,0.003085,-0.028841,-0.041919,-0.001728,-0.076254,0.087017
1567333251.423000,0.106516,-0.155156,0.332035,-0.042246,0.003235,-0.022443,-0.043284,-0.001627,-0.077152,0.088464
1567333251.456000,0.044243,0.045944,0.219584,-0.039766,0.001413,-0.013356,-0.044590,-0.001555,-0.077790,0.089664
1567333251.489000,0.144564,-0.016263,0.234033,-0.036661,0.001883,-0.005882,-0.045805,-0.001504,-0.078152,0.090586
